init,geometry,geo params,constraints,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
kernel pca:rbf,ellipse,,"('variance', 'A', 'R', 'n', 'r')",9,0.15756354756446936,0.009375936625006123,0.944102194102194,0.04082335203306404,0.7384129017743358,0.011822309895156025,1.7210496166968696,0.2989341112436265,1.0,0.16689247048547157,0.28723022235861445,0.2120945019691122
kernel pca:rbf,ellipse,,"('variance', 'A')",10,0.15885469188340906,0.009701590163859236,0.9456515706515706,0.03900636580508043,0.7394297939073702,0.011623120778148885,1.7466987624073655,0.29384749558166984,1.0,0.1679843790392643,0.29341810697165277,0.2169620903667399
kernel pca:rbf,ellipse,,"('variance',)",10,0.18784448229741407,0.05420484671789689,0.9425050505050507,0.02766049805660614,0.8350099288470598,0.039978935235432785,2.1359150140420438,0.6159128540728397,11.0,0.19930342250872368,0.4256951724863479,0.3554596956883622
kernel pca:rbf,ellipse,,"('variance', 'A', 'R')",10,0.1882335987310297,0.027095638839117257,0.9507575757575758,0.02525883759489411,0.8068998042025546,0.021843262184390724,2.5680798317428217,1.6245118222125015,11.0,0.1979827492629157,0.5084355054150899,0.4102565097690629
kernel pca:rbf,ellipse,,"('variance', 'A', 'r')",10,0.15885469188340906,0.009701590163859236,0.9456515706515708,0.039006365805080434,0.7394297939073701,0.011623120778148885,1.7466987624073655,0.29384749558166984,1.0,0.16798437903926428,0.2934181069716527,0.21696209036673983
kernel pca:rbf,ellipse,,"('variance', 'A', 'n')",10,0.1881354902554135,0.021384665265105293,0.9383838383838384,0.03321835081294004,0.8088780020316474,0.026418602370005193,2.4111192536073642,1.2600186053643656,11.0,0.20048884322159244,0.4834025100250498,0.39101365648614567
kernel pca:rbf,ellipse,,"('variance', 'A', 'r', 'n')",10,0.17964491975436034,0.023406823446959466,0.9462121212121213,0.03269300019903457,0.834719141034773,0.02181507038374326,1.5257226728780202,0.2977112173135034,11.0,0.18985692079724228,0.2896690086631591,0.24179226609570637
kernel pca:rbf,ellipse,,"('variance', 'A', 'R', 'n')",9,0.15756354756446936,0.009375936625006123,0.9441021941021942,0.04082335203306404,0.7384129017743358,0.011822309895156025,1.7210496166968696,0.2989341112436265,1.0,0.16689247048547154,0.2872302223586144,0.21209450196911217
kernel pca:rbf,ellipse,,"('variance', 'A', 'r', 'R')",10,0.15885469188340906,0.009701590163859236,0.9456515706515706,0.03900636580508043,0.7394297939073701,0.011623120778148885,1.7466987624073655,0.29384749558166984,1.0,0.1679843790392643,0.29341810697165277,0.21696209036673988
kernel pca:rbf,toroid,,"('variance', 'A', 'R', 'n', 'r')",3,0.14379550722594472,0.009726646532064984,0.9444444444444446,0.03928371006591922,0.759022077411354,0.011298737884063109,1.7606508355788915,0.4565388661184245,1.0,0.1522540664745297,0.2680662493586648,0.20346820147208378
